row_type,force_noise,n_load_cases,parameter,relative_error_percent,mean_abs_relative_error_percent,max_abs_relative_error_percent,condition_number,residual_norm
parameter,0.04,3,matrix_density_gain,149.56234381828872,,,16348.344001319309,0.014770164996473349
parameter,0.04,3,fiber_scale,42.88426595815499,,,16348.344001319309,0.014770164996473349
parameter,0.04,3,connectivity_scale,-99.99998591329708,,,16348.344001319309,0.014770164996473349
summary,0.04,4,,,102.57165565819072,170.3578026528693,17528.081797127274,0.03814292821515598
parameter,0.04,4,matrix_base,-99.99999999999885,,,17528.081797127274,0.03814292821515598
parameter,0.04,4,matrix_density_gain,170.3578026528693,,,17528.081797127274,0.03814292821515598
parameter,0.04,4,fiber_scale,39.928819980747605,,,17528.081797127274,0.03814292821515598
parameter,0.04,4,connectivity_scale,-99.99999999914712,,,17528.081797127274,0.03814292821515598
summary,0.04,6,,,143.354124802191,204.76717144624854,12670.992653863585,0.03719050136325184
parameter,0.04,6,matrix_base,-100.0,,,12670.992653863585,0.03719050136325184
parameter,0.04,6,matrix_density_gain,168.6493277687779,,,12670.992653863585,0.03719050136325184
parameter,0.04,6,fiber_scale,-99.99999999373753,,,12670.992653863585,0.03719050136325184
parameter,0.04,6,connectivity_scale,204.76717144624854,,,12670.992653863585,0.03719050136325184
summary,0.08,2,,,91.96610840596364,113.68890536184017,241354.7542690363,0.11423251505386514
parameter,0.08,2,matrix_base,-99.9999995511432,,,241354.7542690363,0.11423251505386514
parameter,0.08,2,matrix_density_gain,113.68890536184017,,,241354.7542690363,0.11423251505386514
parameter,0.08,2,fiber_scale,54.17553499034902,,,241354.7542690363,0.11423251505386514
parameter,0.08,2,connectivity_scale,-99.99999372052216,,,241354.7542690363,0.11423251505386514
summary,0.08,3,,,93.95994653921568,125.25720136179058,16386.519572001,0.09372804400590617
parameter,0.08,3,matrix_base,-99.99999999999997,,,16386.519572001,0.09372804400590617
parameter,0.08,3,matrix_density_gain,125.25720136179058,,,16386.519572001,0.09372804400590617
parameter,0.08,3,fiber_scale,50.5825847950722,,,16386.519572001,0.09372804400590617
parameter,0.08,3,connectivity_scale,-99.99999999999996,,,16386.519572001,0.09372804400590617
summary,0.08,4,,,97.2604484038125,141.641763828606,17651.072301006574,0.08499841277294955
parameter,0.08,4,matrix_base,-99.99999698189039,,,17651.072301006574,0.08499841277294955
parameter,0.08,4,matrix_density_gain,141.641763828606,,,17651.072301006574,0.08499841277294955
parameter,0.08,4,fiber_scale,47.40009086554771,,,17651.072301006574,0.08499841277294955
parameter,0.08,4,connectivity_scale,-99.99994193920588,,,17651.072301006574,0.08499841277294955
summary,0.08,6,,,143.29469999645283,217.6051866245222,12636.932990913174,0.08893755562237725
parameter,0.08,6,matrix_base,-99.99999936260127,,,12636.932990913174,0.08893755562237725
parameter,0.08,6,matrix_density_gain,155.5736139986892,,,12636.932990913174,0.08893755562237725
parameter,0.08,6,fiber_scale,-99.99999999999862,,,12636.932990913174,0.08893755562237725
parameter,0.08,6,connectivity_scale,217.6051866245222,,,12636.932990913174,0.08893755562237725
